index,time,IP,PD,GWfr,GWfr_avg,FIR,TDAI,WP,LHD_label,ELM_label
73,1.5376,-1015472.87500001,6432691759055.93,0.153551573490889,0.153551573490889,4.80995324546865e+18,6432691759055.93,166378.324244275,1,1
74,1.5382,-1017454.68750001,6413528009749.03,0.154098902070995,0.154098902070995,4.83058122497071e+18,6413528009749.03,167223.786788567,1,1
75,1.5388,-1014818.31250005,6671138567353.82,0.154769026296178,0.154769026296178,4.85369597764247e+18,6671138567353.82,169494.702811424,1,1
76,1.5394,-1017401.43750001,6719811672008.06,0.15556986314211,0.15556986314211,4.87945783264435e+18,6719811672008.06,171765.618834281,1,1
77,1.54,-1017975.875,6662864103925,0.15681221740251,0.15681221740251,4.91666657663327e+18,6662864103925,174036.534857139,1,1
78,1.5406,-1018418.5,6669488347114.35,0.158297242376796,0.158297242376796,4.96049167546687e+18,6669488347114.35,172847.166656491,1,1
79,1.5412,-1018511.75000002,6584610622189.68,0.160584895765008,0.160584895765008,5.02692569684521e+18,6584610622189.68,171652.510412216,1,1
80,1.5418,-1018635.31249999,6316030566771.57,0.163068163884768,0.163068163884768,5.10038232798569e+18,6316030566771.57,170457.854167941,1,1
81,1.5424,-1018503.06250001,6415016096518.85,0.165757381592526,0.165757381592526,5.18123259239572e+18,6415016096518.85,170400.342595419,1,1
82,1.543,-1019369,6697070577045.97,0.168562932817582,0.168562932817582,5.26727569293295e+18,6697070577045.97,170910.622900762,1,1
83,1.5436,-1018982.93750001,6601468460671.79,0.171424895794114,0.171424895794114,5.35486889567295e+18,6601468460671.79,171420.903206106,1,1
84,1.5442,-1019923.1875,6508462109880.57,0.17441696617134,0.17441696617134,5.44407295854838e+18,6508462109880.57,171786.131139047,1,1
85,1.5448,-1020258.18749998,6420597701671.63,0.177476748618394,0.177476748618394,5.53377800795253e+18,6420597701671.63,171864.02535619,1,1
86,1.5454,-1018320.31250001,6236085518316.34,0.180607041212794,0.180607041212794,5.624004746238e+18,6236085518316.34,171941.919573333,1,1
87,1.546,-1020060,6003910050990.5,0.183311942821612,0.183311942821612,5.7068765017512e+18,6003910050990.5,172019.813790476,1,1
88,1.5466,-1019224.875,6233471909725.07,0.185795594233272,0.185795594233272,5.78530770153995e+18,6233471909725.07,173163.888793891,1,1
89,1.5472,-1021158.74999998,6422474304308.67,0.187573850472785,0.187573850472785,5.84811123741732e+18,6422474304308.67,174310.518656486,1,1
90,1.5478,-1022233.43749998,6527589294567.75,0.189036404899009,0.189036404899009,5.89672866900862e+18,6527589294567.75,175457.148519082,1,1
91,1.5484,-1020840.25,6384502027786.89,0.19015682467046,0.19015682467046,5.92997223295598e+18,6384502027786.89,175937.971572519,1,1
92,1.549,-1021149.1875,6117183160829.8,0.190587177998268,0.190587177998268,5.93438697449395e+18,6117183160829.8,176085.052366412,1,1
93,1.5496,-1022188.25,6361537554851.35,0.190627669062742,0.190627669062742,5.92602823106623e+18,6361537554851.35,176232.133160305,1,1
94,1.5502,-1022464.56249999,6641469614700.33,0.189363354193145,0.189363354193145,5.88234878775752e+18,6641469614700.33,176203.449832062,1,1
95,1.5508,-1022598.49999999,6992151399398,0.187393650018037,0.187393650018037,5.81966161951113e+18,6992151399398,175825.242076337,1,1
96,1.5514,-1023057.1875,6851248953268.51,0.184686861561127,0.184686861561127,5.73711265980448e+18,6851248953268.51,175447.034320611,1,1
97,1.552,-1024707.31249999,6468867775384.03,0.18176652500301,0.18176652500301,5.64785364607953e+18,6468867775384.03,175063.344609528,1,1
98,1.5526,-1023332.6875,6697687955467.72,0.178820251575976,0.178820251575976,5.55775969144496e+18,6697687955467.72,172918.257706671,1,1
99,1.5532,-1022759.1875,6750461316348.23,0.175985774452159,0.175985774452159,5.47106648498257e+18,6750461316348.23,170773.170803814,1,1
100,1.5538,-1023666.87500001,6447407794451.11,0.173139283496233,0.173139283496233,5.3832991396424e+18,6447407794451.11,168628.083900957,1,1
101,1.5544,-1023259.56249999,6484537979418.66,0.170280056120899,0.170280056120899,5.29439304996766e+18,6484537979418.66,168876.463022898,1,1
102,1.555,-1022549.56250001,6692852417637.21,0.167975583029628,0.167975583029628,5.22167204952111e+18,6692852417637.21,170329.261068699,1,1
103,1.5556,-1024239.375,6837762755929.18,0.165999812952173,0.165999812952173,5.158926225809e+18,6837762755929.18,171782.059114501,1,1
104,1.5562,-1023948.24999998,6998237238126.19,0.165160090879837,0.165160090879837,5.13144252789989e+18,6998237238126.19,173161.72787786,1,1
105,1.5568,-1024543.00000001,7189847492821.08,0.164907070568753,0.164907070568753,5.12214469122968e+18,7189847492821.08,174395.40555725,1,1
106,1.5574,-1026085.62499999,7192601974492.4,0.165285099645825,0.165285099645825,5.13240734911709e+18,7192601974492.4,175629.083236639,1,1
107,1.558,-1026198,7101163894919.37,0.16656662925436,0.16656662925436,5.17178530504859e+18,7101163894919.37,176860.207847619,1,1
108,1.5586,-1022564.68750001,6864607954982.19,0.168183009084032,0.168183009084032,5.22199326721632e+18,6864607954982.19,176953.081721905,1,1
109,1.5592,-1024782.81250001,6716655145756.77,0.170551684598193,0.170551684598193,5.29665639834775e+18,6716655145756.77,177045.95559619,1,1
110,1.5598,-1026407.43749999,6743417488712.73,0.173140198814544,0.173140198814544,5.37651483988903e+18,6743417488712.73,177138.829470476,1,1
111,1.5604,-1025786.18749999,6858973097117.58,0.175968614873307,0.175968614873307,5.46204273147175e+18,6858973097117.58,176352.366106873,1,1
112,1.561,-1026067.625,7019384184798.17,0.17878714626585,0.17878714626585,5.54436379555973e+18,7019384184798.17,175121.690076338,1,1
113,1.5616,-1025851.1875,7065692572496.3,0.181548188497374,0.181548188497374,5.62535404148058e+18,7065692572496.3,173891.014045804,1,1
114,1.5622,-1026428.18750003,7140291092741.61,0.184003168361142,0.184003168361142,5.70290693465957e+18,7140291092741.61,173060.008244275,1,1
115,1.5628,-1025774.87500003,7271901060857.91,0.1862421688206,0.1862421688206,5.77736338450846e+18,7271901060857.91,173029.991755725,1,1
116,1.5634,-1027959.50000001,7023146134823.43,0.188253917934893,0.188253917934893,5.84856178799762e+18,7023146134823.43,172999.975267176,1,1
117,1.564,-1027808.25,6585810303631.29,0.189960054665221,0.189960054665221,5.90661287805543e+18,6585810303631.29,172970.427885714,1,1
118,1.5646,-1026775.4375,7028393739567.5,0.191511115172384,0.191511115172384,5.9583416484491e+18,7028393739567.5,173282.004754285,1,1
119,1.5652,-1028128.06250002,7280451383488.2,0.192581565636727,0.192581565636727,5.99128605166334e+18,7280451383488.2,173593.581622857,1,1
120,1.5658,-1028389.62499999,7155355388684.82,0.1933898720179,0.1933898720179,6.01580603671789e+18,7155355388684.82,173905.158491428,1,1
121,1.5664,-1028617.74999999,7301827004005.18,0.193918336406318,0.193918336406318,6.03133285306496e+18,7301827004005.18,174868.394076333,1,1
122,1.567,-1028789.87499999,7586018445893.9,0.194195623634964,0.194195623634964,6.03860482181585e+18,7586018445893.9,176162.104732822,1,1
123,1.5676,-1028686.6875,7149189258913.8,0.194352691804814,0.194352691804814,6.04258827070678e+18,7149189258913.8,177455.81538931,1,1
124,1.5682,-1029826.31249999,6938032769908.77,0.194151484133468,0.194151484133468,6.03848791857704e+18,6938032769908.77,177843.634687025,1,1
125,1.5688,-1029736.87500001,7184172086766.52,0.193757820034054,0.193757820034054,6.03008361204542e+18,7184172086766.52,176408.846534354,1,1
126,1.5694,-1030762.68749998,7052003673264.1,0.193160953147263,0.193160953147263,6.0171350274142e+18,7052003673264.1,174974.058381682,1,1
127,1.57,-1030694.18749998,6730733236431.89,0.19261205470282,0.19261205470282,6.00224502482507e+18,6730733236431.89,173539.922137405,1,1
